Certificate Number,Certificate Holder,Scope,Certificate Type
39 00 0591803,AAB - TECH Srlvia Dante 534122 TriesteItaly,"Production of printed circuit board, single, double side, multilayers, flex, rigid flex. Produzione di circuiti stampati mono-doppio lato, multistrato, flessibili e rigido flessibili.","ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 100 1433179,"AAC CONSTRUCTION AND TECHNOLOGYARCHITECTURE CONSULTANT JOINT STOCKCOMPANYNo. 7, Road 68, Nam Dong Street, Nam Dong Ward,Phuong Lang Ha, Quan Dong Da,Dong Da District, Hanoi City,Vietnam","Design, Build and General Construction Work for Civil and Industrial Buildings Thiết kế, xây dựng và thi công các công trình xây dựng dân dụng và công nghiệp","ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 113 1433179,"AAC CONSTRUCTION AND TECHNOLOGYARCHITECTURE CONSULTANT JOINT STOCKCOMPANYNo. 7, Road 68, Nam Dong Street, Nam Dong Ward,Phuong Lang Ha, Quan Dong Da,Dong Da District, Hanoi City,Vietnam","Design, Build and General construction work for civil and industrial buildings Thiết kế, xây dựng và thi công các công trình xây dựng dân dụng và công nghiệp","ISO 45001 Standard for Occupational Health and Safety Management Systems ISO 45001 is a voluntary standard for occupational health & safety management systems, issued by ISO, the International Organization for Standardization. ISO 45001 has been designed to help organizations ensure that they control and minimize occupational health and safety risks. The OH&S management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 45001. The OH&S management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications."
01 400 1610377,Aachener Papierverwertung u.Containerdienst Horsch GmbH & Co.KGWeißwasserstr. 2752068 AachenGermany,"collection and transportation of all types of waste, storage and treatment of waste as stated in annex of certificate as well as trading and dealing of all types of waste within the European Community Sammeln und Befördern aller Abfälle, Lagern und Behandeln von Abfällen gemäß Anlagen zum Zertifikat sowie Handeln und Makeln aller Abfälle innerhalb der EU. Annerkannter Fachbetrieb der Akten- und Datenträgervernichtung gemäß Qualitätsstandard der bvse- ESG e.V. unter Berücksichtigung der DIN 66399-1 und der DIN SPEC 66399-3 (Schutzklasse 2, Sicherheitsstufe P4) und dem BDSG",EfbV
01 100 6002,Aachener Papierverwertung u.Containerdienst Horsch GmbH & Co.KGWeißwasserstr. 2752068 AachenGermany,"Planning and implementing waste disposal concepts and services, recycling secondary raw materials, trading with secondary raw materials, secure data destruction in accordance with the provisions of the German Data Protection Act Planung und Ausführung von Entsorgungs-Konzepten und -Dienstleistungen, Sekundärrohstoff-Verwertung, Sekundärrohstoff-Handel, bundesdatenschutzgerechte Vernichtungen","ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 407 1301087,Aachener Printen- undSchokoladenfabrikHenry Lambertz GmbH & Co. KGBorchersstr. 1852072 AachenGermany,Production of bakery products Herstellung von Backwaren,"ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 100 1521141,"AAGES HTC SRLSTR. AGRICULTORILOR 16/D547530 SANGEORGIU DE MURES, JUDETUL MURESRomania",Induction hardening. Tratarea termică a metalelor prin inducție.,"ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 100 1331852,"AAGES SASTR AGRICULTORILOR NR 16547530 SANGEORGIU DE MURES, JUDETUL MURESRomania","Design, manufacturing and testing of induction heating equipment Proiectarea, producerea şi testarea instalaţiilor de încălzire prin inducţie","ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
17 114 128073,"Aala GlovesNo.99, Udayendiram,Vaniyambadi,635754 Vellore, TamilnaduIndia","Manufacture and export of Handbags, Wallets, Accessories, Fashion Gloves & Mittens made out of Leather",SA 8000
01 202 USA/Q-03 0606/02,"Conbraco Industries, Inc.125 Hwy 501 East29526 ConwayUnited States","Design and Manufacture of Industrial Ball Valves, Butterfly Valves and Safety Relief Valves",H1
